City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
91,lebu,92,ET,1525145672,98,8.96,38.73,50.49,2.59
92,kaitangata,92,NZ,1525145754,89,-46.28,169.85,54.45,22.17
93,faanui,8,PF,1525145756,100,-16.48,-151.75,82.8,12.66
94,bonavista,24,CA,1525145756,96,48.65,-53.11,33.66,9.75
95,flinders,0,AU,1525140000,46,-34.58,150.85,71.6,3.36
96,kalispell,75,US,1525143300,81,48.2,-114.32,48.2,13.87
97,jvari,0,GE,1525143600,45,42.72,42.05,68.0,33.33
98,voh,0,NC,1525145761,100,-20.95,164.69,74.16,19.48
99,vitim,0,RU,1525145762,59,59.44,112.57,46.98,5.73
100,sitka,24,US,1525145668,48,37.17,-99.65,74.43,25.52
101,sandwick,0,GB,1525143000,84,54.57,-2.89,32.0,10.29
102,kavieng,64,PG,1525145763,100,-2.57,150.8,82.53,1.92
103,vanino,8,RU,1525145763,78,53.93,40.55,58.32,5.95
104,aykhal,20,RU,1525145640,75,65.95,111.51,42.75,12.21
105,scottsbluff,75,US,1525144680,76,41.87,-103.67,51.8,23.04
106,rundu,76,NA,1525145764,48,-17.91,19.77,60.3,7.74
107,peniche,0,PT,1525143600,81,39.36,-9.38,50.0,4.7
108,karasjok,24,NO,1525143000,85,69.47,25.52,21.2,2.48
109,plettenberg bay,0,ZA,1525145689,90,-34.05,23.37,60.12,4.61
110,corner brook,40,CA,1525143600,80,48.95,-57.95,46.4,2.24
111,norman wells,75,CA,1525143600,48,65.28,-126.83,42.8,5.82
112,biltine,0,TD,1525145767,58,14.53,20.93,65.16,2.93
113,finnsnes,0,NO,1525143000,92,69.23,17.98,32.0,1.92
114,esperance,20,TT,1525140000,78,10.24,-61.45,78.8,5.82
115,lompoc,75,US,1525143480,76,34.64,-120.46,51.8,8.05
116,punta arenas,40,CL,1525143600,86,-53.16,-70.91,33.8,5.82
117,huarmey,32,PE,1525145769,80,-10.07,-78.15,66.42,3.49
118,barbosa ferraz,0,BR,1525140000,60,-24.03,-52.01,75.2,5.82
119,khash,0,IR,1525145770,26,28.22,61.21,63.72,2.37
120,vila velha,75,BR,1525143600,100,-3.71,-38.6,77.0,8.05
121,dunedin,20,NZ,1525145685,82,-45.87,170.5,56.43,9.19
122,severo-kurilsk,48,RU,1525145651,95,50.68,156.12,35.46,7.63
123,ambon,0,FR,1525143600,81,47.55,-2.56,42.8,5.82
124,port elizabeth,1,US,1525143360,81,39.31,-74.98,57.2,4.7
125,novyy urgal,56,RU,1525145773,46,51.07,132.56,46.98,11.77
126,hay river,75,CA,1525143600,87,60.82,-115.79,33.8,5.82
127,arraial do cabo,0,BR,1525145774,95,-22.97,-42.02,72.63,11.65
128,klang,75,MY,1525141800,66,3.05,101.45,87.8,3.36
129,khatanga,76,RU,1525145775,100,71.98,102.47,21.6,18.03
130,sur,0,OM,1525145776,79,22.57,59.53,85.86,9.42
131,honiara,75,SB,1525143600,66,-9.43,159.96,87.8,5.82
132,novorzhev,76,RU,1525145776,93,57.03,29.33,54.81,8.41
133,gizo,0,IL,1525143000,31,31.8,34.94,78.8,4.7
134,noyabrsk,0,RU,1525145777,88,63.2,75.45,14.67,13.56
135,fortuna,20,ES,1525143600,62,38.18,-1.13,51.8,9.17
136,powell,1,US,1525144620,53,40.16,-83.08,57.2,3.36
